,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99740.2279482
2017-10-28 23:59:00+00:00,98670.1890377
2017-10-29 23:59:00+00:00,93319.9944852
2017-10-30 23:59:00+00:00,93125.441956
2017-10-31 23:59:00+00:00,86802.4847575
2017-11-01 23:59:00+00:00,80090.4225007
2017-11-02 23:59:00+00:00,83884.1968198
2017-11-03 23:59:00+00:00,78339.4497381
2017-11-04 23:59:00+00:00,74351.1228898
2017-11-05 23:59:00+00:00,75129.3330066
2017-11-06 23:59:00+00:00,78534.0022673
2017-11-07 23:59:00+00:00,81063.1851466
2017-11-08 23:59:00+00:00,84662.4069365
2017-11-09 23:59:00+00:00,98475.6365085
2017-11-10 23:59:00+00:00,94681.8621894
2017-11-11 23:59:00+00:00,104895.869972
2017-11-12 23:59:00+00:00,101004.819388
2017-11-13 23:59:00+00:00,94487.3096603
2017-11-14 23:59:00+00:00,99059.294096
2017-11-15 23:59:00+00:00,92152.6793101
2017-11-16 23:59:00+00:00,86413.3796992
2017-11-17 23:59:00+00:00,88164.3524618
2017-11-18 23:59:00+00:00,95070.9672478
2017-11-19 23:59:00+00:00,92833.6131622
2017-11-20 23:59:00+00:00,105576.803824
2017-11-21 23:59:00+00:00,148572.912773
2017-11-22 23:59:00+00:00,149253.846625
2017-11-23 23:59:00+00:00,134078.749349
2017-11-24 23:59:00+00:00,150323.885536
2017-11-25 23:59:00+00:00,151199.371917
2017-11-26 23:59:00+00:00,172891.978921
2017-11-27 23:59:00+00:00,197211.045069
2017-11-28 23:59:00+00:00,192249.955575
2017-11-29 23:59:00+00:00,160926.998376
2017-11-30 23:59:00+00:00,175129.333007
2017-12-01 23:59:00+00:00,206063.185147
2017-12-02 23:59:00+00:00,330576.803824
2017-12-03 23:59:00+00:00,368611.823279
2017-12-04 23:59:00+00:00,379020.38359
2017-12-05 23:59:00+00:00,340498.982812
2017-12-06 23:59:00+00:00,337191.589816
2017-12-07 23:59:00+00:00,397502.873863
2017-12-08 23:59:00+00:00,395460.072306
2017-12-09 23:59:00+00:00,391860.850516
2017-12-10 23:59:00+00:00,353436.726003
2017-12-11 23:59:00+00:00,373086.53145
2017-12-12 23:59:00+00:00,388748.010049
2017-12-13 23:59:00+00:00,410440.617053
2017-12-14 23:59:00+00:00,411316.103435
2017-12-15 23:59:00+00:00,374837.504213
2017-12-16 23:59:00+00:00,343125.441956
2017-12-17 23:59:00+00:00,422891.978921
2017-12-18 23:59:00+00:00,500810.266859
2017-12-19 23:59:00+00:00,517152.67931
2017-12-20 23:59:00+00:00,690401.706547
2017-12-21 23:59:00+00:00,756646.842734
2017-12-22 23:59:00+00:00,874059.294096
2017-12-23 23:59:00+00:00,1231257.73768
2017-12-24 23:59:00+00:00,1235635.16958
2017-12-25 23:59:00+00:00,1185926.99838
2017-12-26 23:59:00+00:00,918709.099544
2017-12-27 23:59:00+00:00,800810.266859
2017-12-28 23:59:00+00:00,497502.873863
2017-12-29 23:59:00+00:00,399837.504213
2017-12-30 23:59:00+00:00,415596.259077
2017-12-31 23:59:00+00:00,486218.82717
2018-01-01 23:59:00+00:00,455284.97503
2018-01-02 23:59:00+00:00,407230.500322
2018-01-03 23:59:00+00:00,403631.278532
2018-01-04 23:59:00+00:00,374545.675419
