,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99740.3176468
2017-10-28 23:59:00+00:00,98351.3345001
2017-10-29 23:59:00+00:00,94807.617726
2017-10-30 23:59:00+00:00,93836.0081796
2017-10-31 23:59:00+00:00,89228.497717
2017-11-01 23:59:00+00:00,80292.8569523
2017-11-02 23:59:00+00:00,75518.510159
2017-11-03 23:59:00+00:00,81182.4622006
2017-11-04 23:59:00+00:00,76214.698373
2017-11-05 23:59:00+00:00,76222.6160294
2017-11-06 23:59:00+00:00,83027.8416826
2017-11-07 23:59:00+00:00,86536.4945499
2017-11-08 23:59:00+00:00,90359.5914846
2017-11-09 23:59:00+00:00,93639.197864
2017-11-10 23:59:00+00:00,95280.4149209
2017-11-11 23:59:00+00:00,103678.220599
2017-11-12 23:59:00+00:00,102157.465028
2017-11-13 23:59:00+00:00,97707.7421463
2017-11-14 23:59:00+00:00,98113.239262
2017-11-15 23:59:00+00:00,89542.9417844
2017-11-16 23:59:00+00:00,92444.7628453
2017-11-17 23:59:00+00:00,97893.8070711
2017-11-18 23:59:00+00:00,100806.373523
2017-11-19 23:59:00+00:00,99010.1966198
2017-11-20 23:59:00+00:00,101699.372052
2017-11-21 23:59:00+00:00,97657.9740205
2017-11-22 23:59:00+00:00,97713.3976152
2017-11-23 23:59:00+00:00,96746.3124438
2017-11-24 23:59:00+00:00,97828.7691795
2017-11-25 23:59:00+00:00,91999.6774478
2017-11-26 23:59:00+00:00,88214.4721542
2017-11-27 23:59:00+00:00,83082.1341834
2017-11-28 23:59:00+00:00,81934.0740092
2017-11-29 23:59:00+00:00,70097.1777305
2017-11-30 23:59:00+00:00,68183.3670756
2017-12-01 23:59:00+00:00,66059.1729799
2017-12-02 23:59:00+00:00,64767.4638973
2017-12-03 23:59:00+00:00,64443.9710797
2017-12-04 23:59:00+00:00,65362.419219
2017-12-05 23:59:00+00:00,60107.9231213
2017-12-06 23:59:00+00:00,45003.2969478
2017-12-07 23:59:00+00:00,35785.4482882
2017-12-08 23:59:00+00:00,42116.7456527
2017-12-09 23:59:00+00:00,44886.7942897
2017-12-10 23:59:00+00:00,38868.8098988
2017-12-11 23:59:00+00:00,44277.134749
2017-12-12 23:59:00+00:00,49640.2158484
2017-12-13 23:59:00+00:00,58623.3625512
2017-12-14 23:59:00+00:00,68302.6974681
2017-12-15 23:59:00+00:00,96062.0007144
2017-12-16 23:59:00+00:00,82759.7724596
2017-12-17 23:59:00+00:00,85377.6889849
2017-12-18 23:59:00+00:00,146910.886587
2017-12-19 23:59:00+00:00,198941.1999
2017-12-20 23:59:00+00:00,187255.870186
2017-12-21 23:59:00+00:00,192636.483239
2017-12-22 23:59:00+00:00,169748.80085
2017-12-23 23:59:00+00:00,184522.582097
2017-12-24 23:59:00+00:00,182548.823472
2017-12-25 23:59:00+00:00,191592.483691
2017-12-26 23:59:00+00:00,175983.389697
2017-12-27 23:59:00+00:00,175529.821097
2017-12-28 23:59:00+00:00,190165.043357
2017-12-29 23:59:00+00:00,199230.194358
2017-12-30 23:59:00+00:00,215655.372505
2017-12-31 23:59:00+00:00,216325.545562
2018-01-01 23:59:00+00:00,217731.495115
2018-01-02 23:59:00+00:00,205080.776871
2018-01-03 23:59:00+00:00,196119.12095
2018-01-04 23:59:00+00:00,170278.71828
