,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99733.0791427
2017-10-28 23:59:00+00:00,96147.7458094
2017-10-29 23:59:00+00:00,85093.0791427
2017-10-30 23:59:00+00:00,79514.4124761
2017-10-31 23:59:00+00:00,66414.4124761
2017-11-01 23:59:00+00:00,57193.0791427
2017-11-02 23:59:00+00:00,51043.7458094
2017-11-03 23:59:00+00:00,55014.4124761
2017-11-04 23:59:00+00:00,51050.4124761
2017-11-05 23:59:00+00:00,51763.7458094
2017-11-06 23:59:00+00:00,54867.7458094
2017-11-07 23:59:00+00:00,53297.0791427
2017-11-08 23:59:00+00:00,59747.7458094
2017-11-09 23:59:00+00:00,66946.4124761
2017-11-10 23:59:00+00:00,61478.4124761
2017-11-11 23:59:00+00:00,66398.4124761
2017-11-12 23:59:00+00:00,62147.7458094
2017-11-13 23:59:00+00:00,63325.0791427
2017-11-14 23:59:00+00:00,70387.7458094
2017-11-15 23:59:00+00:00,65497.0791427
2017-11-16 23:59:00+00:00,53474.4124761
2017-11-17 23:59:00+00:00,55733.0791427
2017-11-18 23:59:00+00:00,56946.4124761
2017-11-19 23:59:00+00:00,54611.7458094
2017-11-20 23:59:00+00:00,53375.7458094
2017-11-21 23:59:00+00:00,53821.0791427
2017-11-22 23:59:00+00:00,57406.4124761
2017-11-23 23:59:00+00:00,63463.7458094
2017-11-24 23:59:00+00:00,66286.4124761
2017-11-25 23:59:00+00:00,69534.4124761
2017-11-26 23:59:00+00:00,62015.7458094
2017-11-27 23:59:00+00:00,70550.4124761
2017-11-28 23:59:00+00:00,83747.7458094
2017-11-29 23:59:00+00:00,62414.4124761
2017-11-30 23:59:00+00:00,67747.7458094
2017-12-01 23:59:00+00:00,66331.7458094
2017-12-02 23:59:00+00:00,69054.4124761
2017-12-03 23:59:00+00:00,69359.7458094
2017-12-04 23:59:00+00:00,83077.0791427
2017-12-05 23:59:00+00:00,81413.0791427
2017-12-06 23:59:00+00:00,70378.4124761
2017-12-07 23:59:00+00:00,65746.4124761
2017-12-08 23:59:00+00:00,70909.0791427
2017-12-09 23:59:00+00:00,78759.7458094
2017-12-10 23:59:00+00:00,76946.4124761
2017-12-11 23:59:00+00:00,82477.0791427
2017-12-12 23:59:00+00:00,75170.4124761
2017-12-13 23:59:00+00:00,74702.4124761
2017-12-14 23:59:00+00:00,75954.4124761
2017-12-15 23:59:00+00:00,71783.7458094
2017-12-16 23:59:00+00:00,70587.7458094
2017-12-17 23:59:00+00:00,74461.0791427
2017-12-18 23:59:00+00:00,85855.7458094
2017-12-19 23:59:00+00:00,88262.4124761
2017-12-20 23:59:00+00:00,88014.4124761
2017-12-21 23:59:00+00:00,107747.745809
2017-12-22 23:59:00+00:00,94166.4124761
2017-12-23 23:59:00+00:00,121081.079143
2017-12-24 23:59:00+00:00,135199.745809
2017-12-25 23:59:00+00:00,143603.745809
2017-12-26 23:59:00+00:00,123081.079143
2017-12-27 23:59:00+00:00,115507.745809
2017-12-28 23:59:00+00:00,128933.079143
2017-12-29 23:59:00+00:00,136699.745809
2017-12-30 23:59:00+00:00,130701.079143
2017-12-31 23:59:00+00:00,130483.745809
2018-01-01 23:59:00+00:00,152679.745809
2018-01-02 23:59:00+00:00,141510.412476
2018-01-03 23:59:00+00:00,143747.745809
2018-01-04 23:59:00+00:00,137342.412476
