,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.9410071
2017-10-28 23:59:00+00:00,97891.4487295
2017-10-29 23:59:00+00:00,94171.5827493
2017-10-30 23:59:00+00:00,91188.8255376
2017-10-31 23:59:00+00:00,81608.0459347
2017-11-01 23:59:00+00:00,70005.528978
2017-11-02 23:59:00+00:00,73846.3396342
2017-11-03 23:59:00+00:00,83659.2022639
2017-11-04 23:59:00+00:00,78667.7827983
2017-11-05 23:59:00+00:00,75872.9801506
2017-11-06 23:59:00+00:00,81460.9510585
2017-11-07 23:59:00+00:00,84396.3110324
2017-11-08 23:59:00+00:00,98376.861821
2017-11-09 23:59:00+00:00,112996.458127
2017-11-10 23:59:00+00:00,104293.344619
2017-11-11 23:59:00+00:00,105970.226208
2017-11-12 23:59:00+00:00,102431.777241
2017-11-13 23:59:00+00:00,110453.351157
2017-11-14 23:59:00+00:00,124839.230048
2017-11-15 23:59:00+00:00,113637.138032
2017-11-16 23:59:00+00:00,97543.3241892
2017-11-17 23:59:00+00:00,100076.624835
2017-11-18 23:59:00+00:00,110338.944031
2017-11-19 23:59:00+00:00,103262.046098
2017-11-20 23:59:00+00:00,103487.591575
2017-11-21 23:59:00+00:00,105406.362516
2017-11-22 23:59:00+00:00,104620.222122
2017-11-23 23:59:00+00:00,104685.597622
2017-11-24 23:59:00+00:00,103469.613312
2017-11-25 23:59:00+00:00,100393.696012
2017-11-26 23:59:00+00:00,98770.7492117
2017-11-27 23:59:00+00:00,95036.1737438
2017-11-28 23:59:00+00:00,97087.330073
2017-11-29 23:59:00+00:00,85220.0423391
2017-11-30 23:59:00+00:00,78845.9310373
2017-12-01 23:59:00+00:00,87395.4121193
2017-12-02 23:59:00+00:00,92885.3197764
2017-12-03 23:59:00+00:00,90066.001316
2017-12-04 23:59:00+00:00,95090.1085318
2017-12-05 23:59:00+00:00,103183.595498
2017-12-06 23:59:00+00:00,101037.644693
2017-12-07 23:59:00+00:00,79458.8263548
2017-12-08 23:59:00+00:00,83752.3623522
2017-12-09 23:59:00+00:00,94442.8910765
2017-12-10 23:59:00+00:00,103525.182488
2017-12-11 23:59:00+00:00,108287.787702
2017-12-12 23:59:00+00:00,138535.39741
2017-12-13 23:59:00+00:00,134047.369298
2017-12-14 23:59:00+00:00,133527.634069
2017-12-15 23:59:00+00:00,121786.194174
2017-12-16 23:59:00+00:00,112408.078622
2017-12-17 23:59:00+00:00,114671.705328
2017-12-18 23:59:00+00:00,133674.728945
2017-12-19 23:59:00+00:00,147153.522767
2017-12-20 23:59:00+00:00,151375.145714
2017-12-21 23:59:00+00:00,166622.346825
2017-12-22 23:59:00+00:00,145187.354589
2017-12-23 23:59:00+00:00,161813.978761
2017-12-24 23:59:00+00:00,159958.948934
2017-12-25 23:59:00+00:00,166584.755913
2017-12-26 23:59:00+00:00,146820.107715
2017-12-27 23:59:00+00:00,141272.996495
2017-12-28 23:59:00+00:00,143691.890014
2017-12-29 23:59:00+00:00,152850.997639
2017-12-30 23:59:00+00:00,149180.163284
2017-12-31 23:59:00+00:00,147457.518845
2018-01-01 23:59:00+00:00,152542.098399
2018-01-02 23:59:00+00:00,146914.90219
2018-01-03 23:59:00+00:00,139793.875795
2018-01-04 23:59:00+00:00,135036.173744
