,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99735.4494646
2017-10-28 23:59:00+00:00,96744.9079882
2017-10-29 23:59:00+00:00,90651.1995091
2017-10-30 23:59:00+00:00,91662.9096701
2017-10-31 23:59:00+00:00,83345.2510114
2017-11-01 23:59:00+00:00,74583.0132323
2017-11-02 23:59:00+00:00,70267.7944925
2017-11-03 23:59:00+00:00,72220.4584558
2017-11-04 23:59:00+00:00,69824.2920072
2017-11-05 23:59:00+00:00,69294.6333492
2017-11-06 23:59:00+00:00,73813.4019754
2017-11-07 23:59:00+00:00,76041.5309554
2017-11-08 23:59:00+00:00,83777.2383993
2017-11-09 23:59:00+00:00,94082.4995758
2017-11-10 23:59:00+00:00,89356.1430454
2017-11-11 23:59:00+00:00,93692.132539
2017-11-12 23:59:00+00:00,87446.3069498
2017-11-13 23:59:00+00:00,87116.5095835
2017-11-14 23:59:00+00:00,93451.6437435
2017-11-15 23:59:00+00:00,84488.2308568
2017-11-16 23:59:00+00:00,76735.3231963
2017-11-17 23:59:00+00:00,79461.7944929
2017-11-18 23:59:00+00:00,83086.9269559
2017-11-19 23:59:00+00:00,80400.5921246
2017-11-20 23:59:00+00:00,80275.0323014
2017-11-21 23:59:00+00:00,80692.7439724
2017-11-22 23:59:00+00:00,84012.9720519
2017-11-23 23:59:00+00:00,87347.2336385
2017-11-24 23:59:00+00:00,89540.5599508
2017-11-25 23:59:00+00:00,90543.7411517
2017-11-26 23:59:00+00:00,87595.7494158
2017-11-27 23:59:00+00:00,96128.8226223
2017-11-28 23:59:00+00:00,140449.611725
2017-11-29 23:59:00+00:00,110156.496497
2017-11-30 23:59:00+00:00,131482.505113
2017-12-01 23:59:00+00:00,130927.512856
2017-12-02 23:59:00+00:00,134696.275272
2017-12-03 23:59:00+00:00,134217.756126
2017-12-04 23:59:00+00:00,140725.049874
2017-12-05 23:59:00+00:00,132661.169808
2017-12-06 23:59:00+00:00,106234.701705
2017-12-07 23:59:00+00:00,81127.8525315
2017-12-08 23:59:00+00:00,93990.0217676
2017-12-09 23:59:00+00:00,101333.033933
2017-12-10 23:59:00+00:00,97117.571134
2017-12-11 23:59:00+00:00,95015.4255994
2017-12-12 23:59:00+00:00,107618.056385
2017-12-13 23:59:00+00:00,116141.175678
2017-12-14 23:59:00+00:00,146606.052592
2017-12-15 23:59:00+00:00,130767.939608
2017-12-16 23:59:00+00:00,167181.08247
2017-12-17 23:59:00+00:00,190037.452914
2017-12-18 23:59:00+00:00,217091.937294
2017-12-19 23:59:00+00:00,232758.205336
2017-12-20 23:59:00+00:00,243036.368764
2017-12-21 23:59:00+00:00,259889.132035
2017-12-22 23:59:00+00:00,243010.537999
2017-12-23 23:59:00+00:00,261492.558231
2017-12-24 23:59:00+00:00,270325.48839
2017-12-25 23:59:00+00:00,287699.698564
2017-12-26 23:59:00+00:00,255014.047396
2017-12-27 23:59:00+00:00,255911.675775
2017-12-28 23:59:00+00:00,269062.913039
2017-12-29 23:59:00+00:00,300351.080655
2017-12-30 23:59:00+00:00,330533.792007
2017-12-31 23:59:00+00:00,336384.735405
2018-01-01 23:59:00+00:00,362651.217628
2018-01-02 23:59:00+00:00,349034.364932
2018-01-03 23:59:00+00:00,356659.689232
2018-01-04 23:59:00+00:00,342748.450915
