,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99777.5755788
2017-10-28 23:59:00+00:00,108510.24623
2017-10-29 23:59:00+00:00,101191.413907
2017-10-30 23:59:00+00:00,102906.615615
2017-10-31 23:59:00+00:00,94933.7503625
2017-11-01 23:59:00+00:00,91694.5493623
2017-11-02 23:59:00+00:00,88256.100773
2017-11-03 23:59:00+00:00,82325.9852703
2017-11-04 23:59:00+00:00,79626.1991544
2017-11-05 23:59:00+00:00,79168.5045657
2017-11-06 23:59:00+00:00,82126.3157821
2017-11-07 23:59:00+00:00,84475.6985955
2017-11-08 23:59:00+00:00,86385.3981466
2017-11-09 23:59:00+00:00,91467.1251678
2017-11-10 23:59:00+00:00,89574.0548219
2017-11-11 23:59:00+00:00,89960.9719865
2017-11-12 23:59:00+00:00,87204.8213272
2017-11-13 23:59:00+00:00,88840.7410444
2017-11-14 23:59:00+00:00,90487.0286924
2017-11-15 23:59:00+00:00,100062.424265
2017-11-16 23:59:00+00:00,106764.661988
2017-11-17 23:59:00+00:00,97757.9332122
2017-11-18 23:59:00+00:00,97458.586289
2017-11-19 23:59:00+00:00,98038.568536
2017-11-20 23:59:00+00:00,98438.5083421
2017-11-21 23:59:00+00:00,100295.031903
2017-11-22 23:59:00+00:00,105457.286702
2017-11-23 23:59:00+00:00,101077.933591
2017-11-24 23:59:00+00:00,100169.476879
2017-11-25 23:59:00+00:00,118009.02897
2017-11-26 23:59:00+00:00,117820.231429
2017-11-27 23:59:00+00:00,116780.897784
2017-11-28 23:59:00+00:00,124541.977669
2017-11-29 23:59:00+00:00,103599.300316
2017-11-30 23:59:00+00:00,105593.534929
2017-12-01 23:59:00+00:00,113673.796473
2017-12-02 23:59:00+00:00,124368.351588
2017-12-03 23:59:00+00:00,123079.998624
2017-12-04 23:59:00+00:00,132884.038073
2017-12-05 23:59:00+00:00,133159.464768
2017-12-06 23:59:00+00:00,112055.427636
2017-12-07 23:59:00+00:00,87088.6971989
2017-12-08 23:59:00+00:00,97822.2897807
2017-12-09 23:59:00+00:00,101239.024095
2017-12-10 23:59:00+00:00,92009.9470343
2017-12-11 23:59:00+00:00,99388.0252651
2017-12-12 23:59:00+00:00,102596.47004
2017-12-13 23:59:00+00:00,104959.403041
2017-12-14 23:59:00+00:00,113721.16638
2017-12-15 23:59:00+00:00,103930.721628
2017-12-16 23:59:00+00:00,121560.918636
2017-12-17 23:59:00+00:00,142094.668455
2017-12-18 23:59:00+00:00,188810.919713
2017-12-19 23:59:00+00:00,207604.04601
2017-12-20 23:59:00+00:00,215922.656385
2017-12-21 23:59:00+00:00,224088.003979
2017-12-22 23:59:00+00:00,199958.23641
2017-12-23 23:59:00+00:00,212070.298031
2017-12-24 23:59:00+00:00,225444.558456
2017-12-25 23:59:00+00:00,231605.94538
2017-12-26 23:59:00+00:00,211846.269974
2017-12-27 23:59:00+00:00,223344.130799
2017-12-28 23:59:00+00:00,230951.912111
2017-12-29 23:59:00+00:00,234995.869822
2017-12-30 23:59:00+00:00,235056.374036
2017-12-31 23:59:00+00:00,252288.790487
2018-01-01 23:59:00+00:00,271892.3108
2018-01-02 23:59:00+00:00,277278.096096
2018-01-03 23:59:00+00:00,410983.823788
2018-01-04 23:59:00+00:00,360253.703807
