,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99691.4957693
2017-10-28 23:59:00+00:00,112403.360176
2017-10-29 23:59:00+00:00,102233.868651
2017-10-30 23:59:00+00:00,107036.128538
2017-10-31 23:59:00+00:00,87544.603114
2017-11-01 23:59:00+00:00,78505.0550914
2017-11-02 23:59:00+00:00,74267.7669558
2017-11-03 23:59:00+00:00,73420.3093287
2017-11-04 23:59:00+00:00,72855.3375773
2017-11-05 23:59:00+00:00,70030.4788202
2017-11-06 23:59:00+00:00,77657.5974643
2017-11-07 23:59:00+00:00,87544.603114
2017-11-08 23:59:00+00:00,86979.6313626
2017-11-09 23:59:00+00:00,93476.8065038
2017-11-10 23:59:00+00:00,93476.8065038
2017-11-11 23:59:00+00:00,88109.5748654
2017-11-12 23:59:00+00:00,81894.8855999
2017-11-13 23:59:00+00:00,83307.3149784
2017-11-14 23:59:00+00:00,94041.7782552
2017-11-15 23:59:00+00:00,155058.727408
2017-11-16 23:59:00+00:00,210990.930798
2017-11-17 23:59:00+00:00,160143.47317
2017-11-18 23:59:00+00:00,135002.230233
2017-11-19 23:59:00+00:00,157883.586165
2017-11-20 23:59:00+00:00,138392.060741
2017-11-21 23:59:00+00:00,133589.800854
2017-11-22 23:59:00+00:00,155341.213283
2017-11-23 23:59:00+00:00,149691.495769
2017-11-24 23:59:00+00:00,153928.783905
2017-11-25 23:59:00+00:00,164098.27543
2017-11-26 23:59:00+00:00,216358.162436
2017-11-27 23:59:00+00:00,207601.100289
2017-11-28 23:59:00+00:00,185849.68786
2017-11-29 23:59:00+00:00,131612.399724
2017-11-30 23:59:00+00:00,117488.105939
2017-12-01 23:59:00+00:00,127092.625713
2017-12-02 23:59:00+00:00,149126.524018
2017-12-03 23:59:00+00:00,141781.89125
2017-12-04 23:59:00+00:00,179917.48447
2017-12-05 23:59:00+00:00,169747.992944
2017-12-06 23:59:00+00:00,136697.145487
2017-12-07 23:59:00+00:00,88109.5748654
2017-12-08 23:59:00+00:00,111555.902549
2017-12-09 23:59:00+00:00,113815.789555
2017-12-10 23:59:00+00:00,106753.642662
2017-12-11 23:59:00+00:00,121160.422323
2017-12-12 23:59:00+00:00,128222.569216
2017-12-13 23:59:00+00:00,127375.111589
2017-12-14 23:59:00+00:00,140651.947747
2017-12-15 23:59:00+00:00,123702.795204
2017-12-16 23:59:00+00:00,150538.953396
2017-12-17 23:59:00+00:00,171160.422323
2017-12-18 23:59:00+00:00,369465.507069
2017-12-19 23:59:00+00:00,400821.439272
2017-12-20 23:59:00+00:00,457883.586165
2017-12-21 23:59:00+00:00,446019.179385
2017-12-22 23:59:00+00:00,355623.699159
2017-12-23 23:59:00+00:00,426245.168086
2017-12-24 23:59:00+00:00,449409.009894
2017-12-25 23:59:00+00:00,449409.009894
2017-12-26 23:59:00+00:00,368335.563566
2017-12-27 23:59:00+00:00,349691.495769
2017-12-28 23:59:00+00:00,365510.704809
2017-12-29 23:59:00+00:00,349126.524018
2017-12-30 23:59:00+00:00,338109.574865
2017-12-31 23:59:00+00:00,339522.004244
2018-01-01 23:59:00+00:00,364098.27543
2018-01-02 23:59:00+00:00,361555.902549
2018-01-03 23:59:00+00:00,673137.823453
2018-01-04 23:59:00+00:00,551103.925148
