,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,100000.0
2017-10-28 23:59:00+00:00,100000.0
2017-10-29 23:59:00+00:00,100000.0
2017-10-30 23:59:00+00:00,100000.0
2017-10-31 23:59:00+00:00,100000.0
2017-11-01 23:59:00+00:00,100000.0
2017-11-02 23:59:00+00:00,100000.0
2017-11-03 23:59:00+00:00,100000.0
2017-11-04 23:59:00+00:00,100000.0
2017-11-05 23:59:00+00:00,100000.0
2017-11-06 23:59:00+00:00,100000.0
2017-11-07 23:59:00+00:00,100000.0
2017-11-08 23:59:00+00:00,100000.0
2017-11-09 23:59:00+00:00,100000.0
2017-11-10 23:59:00+00:00,100000.0
2017-11-11 23:59:00+00:00,100000.0
2017-11-12 23:59:00+00:00,100000.0
2017-11-13 23:59:00+00:00,100000.0
2017-11-14 23:59:00+00:00,100000.0
2017-11-15 23:59:00+00:00,100000.0
2017-11-16 23:59:00+00:00,100000.0
2017-11-17 23:59:00+00:00,100000.0
2017-11-18 23:59:00+00:00,100000.0
2017-11-19 23:59:00+00:00,100000.0
2017-11-20 23:59:00+00:00,100000.0
2017-11-21 23:59:00+00:00,100000.0
2017-11-22 23:59:00+00:00,100000.0
2017-11-23 23:59:00+00:00,100000.0
2017-11-24 23:59:00+00:00,100000.0
2017-11-25 23:59:00+00:00,100000.0
2017-11-26 23:59:00+00:00,100000.0
2017-11-27 23:59:00+00:00,100000.0
2017-11-28 23:59:00+00:00,100000.0
2017-11-29 23:59:00+00:00,100000.0
2017-11-30 23:59:00+00:00,100000.0
2017-12-01 23:59:00+00:00,100000.0
2017-12-02 23:59:00+00:00,100000.0
2017-12-03 23:59:00+00:00,100000.0
2017-12-04 23:59:00+00:00,100000.0
2017-12-05 23:59:00+00:00,100000.0
2017-12-06 23:59:00+00:00,100000.0
2017-12-07 23:59:00+00:00,100000.0
2017-12-08 23:59:00+00:00,100000.0
2017-12-09 23:59:00+00:00,100000.0
2017-12-10 23:59:00+00:00,100000.0
2017-12-11 23:59:00+00:00,100000.0
2017-12-12 23:59:00+00:00,100000.0
2017-12-13 23:59:00+00:00,100000.0
2017-12-14 23:59:00+00:00,100000.0
2017-12-15 23:59:00+00:00,100000.0
2017-12-16 23:59:00+00:00,100000.0
2017-12-17 23:59:00+00:00,100000.0
2017-12-18 23:59:00+00:00,100000.0
2017-12-19 23:59:00+00:00,100000.0
2017-12-20 23:59:00+00:00,100000.0
2017-12-21 23:59:00+00:00,100000.0
2017-12-22 23:59:00+00:00,100000.0
2017-12-23 23:59:00+00:00,100000.0
2017-12-24 23:59:00+00:00,100000.0
2017-12-25 23:59:00+00:00,100000.0
2017-12-26 23:59:00+00:00,100000.0
2017-12-27 23:59:00+00:00,100000.0
2017-12-28 23:59:00+00:00,100000.0
2017-12-29 23:59:00+00:00,100000.0
2017-12-30 23:59:00+00:00,100000.0
2017-12-31 23:59:00+00:00,100000.0
2018-01-01 23:59:00+00:00,100000.0
2018-01-02 23:59:00+00:00,100000.0
2018-01-03 23:59:00+00:00,100000.0
2018-01-04 23:59:00+00:00,100000.0
