,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99698.0849279
2017-10-28 23:59:00+00:00,109128.340331
2017-10-29 23:59:00+00:00,103234.430704
2017-10-30 23:59:00+00:00,104413.212629
2017-10-31 23:59:00+00:00,106574.312826
2017-11-01 23:59:00+00:00,108735.413022
2017-11-02 23:59:00+00:00,73568.4189161
2017-11-03 23:59:00+00:00,66692.1910183
2017-11-04 23:59:00+00:00,65120.4817845
2017-11-05 23:59:00+00:00,65316.9454387
2017-11-06 23:59:00+00:00,65120.4817845
2017-11-07 23:59:00+00:00,66102.8000556
2017-11-08 23:59:00+00:00,66692.1910183
2017-11-09 23:59:00+00:00,73371.9552619
2017-11-10 23:59:00+00:00,70425.0004485
2017-11-11 23:59:00+00:00,71800.2460281
2017-11-12 23:59:00+00:00,71014.3914112
2017-11-13 23:59:00+00:00,68656.8275605
2017-11-14 23:59:00+00:00,67478.0456352
2017-11-15 23:59:00+00:00,64334.6271676
2017-11-16 23:59:00+00:00,55886.690036
2017-11-17 23:59:00+00:00,54314.9808022
2017-11-18 23:59:00+00:00,56279.6173444
2017-11-19 23:59:00+00:00,52939.7352226
2017-11-20 23:59:00+00:00,64531.0908218
2017-11-21 23:59:00+00:00,68656.8275605
2017-11-22 23:59:00+00:00,68853.2912147
2017-11-23 23:59:00+00:00,61191.2087
2017-11-24 23:59:00+00:00,58637.1811951
2017-11-25 23:59:00+00:00,63941.6998591
2017-11-26 23:59:00+00:00,59226.5721578
2017-11-27 23:59:00+00:00,62762.9179338
2017-11-28 23:59:00+00:00,97536.9847314
2017-11-29 23:59:00+00:00,71996.7096823
2017-11-30 23:59:00+00:00,80837.5741224
2017-12-01 23:59:00+00:00,102841.503395
2017-12-02 23:59:00+00:00,118755.059388
2017-12-03 23:59:00+00:00,114236.39534
2017-12-04 23:59:00+00:00,112468.222452
2017-12-05 23:59:00+00:00,105395.5309
2017-12-06 23:59:00+00:00,77890.619309
2017-12-07 23:59:00+00:00,47045.8255959
2017-12-08 23:59:00+00:00,60601.8177373
2017-12-09 23:59:00+00:00,61977.0633169
2017-12-10 23:59:00+00:00,51760.9532973
2017-12-11 23:59:00+00:00,58440.7175409
2017-12-12 23:59:00+00:00,56476.0809986
2017-12-13 23:59:00+00:00,58833.6448493
2017-12-14 23:59:00+00:00,76122.446421
2017-12-15 23:59:00+00:00,64334.6271676
2017-12-16 23:59:00+00:00,107556.631097
2017-12-17 23:59:00+00:00,151564.489643
2017-12-18 23:59:00+00:00,168853.291215
2017-12-19 23:59:00+00:00,208735.413022
2017-12-20 23:59:00+00:00,207949.558405
2017-12-21 23:59:00+00:00,208931.876676
2017-12-22 23:59:00+00:00,185945.629132
2017-12-23 23:59:00+00:00,180051.719506
2017-12-24 23:59:00+00:00,182016.356048
2017-12-25 23:59:00+00:00,182802.210665
2017-12-26 23:59:00+00:00,158047.790232
2017-12-27 23:59:00+00:00,182016.356048
2017-12-28 23:59:00+00:00,182212.819702
2017-12-29 23:59:00+00:00,212861.149761
2017-12-30 23:59:00+00:00,228971.169407
2017-12-31 23:59:00+00:00,305199.067246
2018-01-01 23:59:00+00:00,361780.599663
2018-01-02 23:59:00+00:00,403823.821667
2018-01-03 23:59:00+00:00,858637.181195
2018-01-04 23:59:00+00:00,702252.112433
