,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99720.7216179
2017-10-28 23:59:00+00:00,112631.707985
2017-10-29 23:59:00+00:00,95791.2909844
2017-10-30 23:59:00+00:00,97903.0258146
2017-10-31 23:59:00+00:00,80073.5684503
2017-11-01 23:59:00+00:00,72535.4770309
2017-11-02 23:59:00+00:00,88440.3153094
2017-11-03 23:59:00+00:00,72882.9776991
2017-11-04 23:59:00+00:00,63420.2671939
2017-11-05 23:59:00+00:00,63928.152786
2017-11-06 23:59:00+00:00,68766.4313212
2017-11-07 23:59:00+00:00,68472.3922942
2017-11-08 23:59:00+00:00,75502.5981215
2017-11-09 23:59:00+00:00,83040.6895409
2017-11-10 23:59:00+00:00,78710.2965978
2017-11-11 23:59:00+00:00,83201.0744647
2017-11-12 23:59:00+00:00,78148.9493645
2017-11-13 23:59:00+00:00,86007.8106315
2017-11-14 23:59:00+00:00,84537.6154965
2017-11-15 23:59:00+00:00,72535.4770309
2017-11-16 23:59:00+00:00,63714.3062209
2017-11-17 23:59:00+00:00,59945.2605112
2017-11-18 23:59:00+00:00,65050.8472527
2017-11-19 23:59:00+00:00,61255.0707224
2017-11-20 23:59:00+00:00,60105.645435
2017-11-21 23:59:00+00:00,63152.9589876
2017-11-22 23:59:00+00:00,67857.5834195
2017-11-23 23:59:00+00:00,64516.23084
2017-11-24 23:59:00+00:00,62351.0343685
2017-11-25 23:59:00+00:00,104051.114561
2017-11-26 23:59:00+00:00,86863.1968919
2017-11-27 23:59:00+00:00,83495.1134917
2017-11-28 23:59:00+00:00,73711.6331389
2017-11-29 23:59:00+00:00,59677.9523049
2017-11-30 23:59:00+00:00,64222.191813
2017-12-01 23:59:00+00:00,64222.191813
2017-12-02 23:59:00+00:00,70022.7798911
2017-12-03 23:59:00+00:00,73123.5550849
2017-12-04 23:59:00+00:00,81035.8779932
2017-12-05 23:59:00+00:00,91300.5131175
2017-12-06 23:59:00+00:00,68659.5080386
2017-12-07 23:59:00+00:00,45002.7317756
2017-12-08 23:59:00+00:00,51845.8218584
2017-12-09 23:59:00+00:00,57886.9873222
2017-12-10 23:59:00+00:00,46553.1193725
2017-12-11 23:59:00+00:00,52995.2471458
2017-12-12 23:59:00+00:00,59089.8742509
2017-12-13 23:59:00+00:00,63340.074732
2017-12-14 23:59:00+00:00,64302.3842749
2017-12-15 23:59:00+00:00,57191.9859857
2017-12-16 23:59:00+00:00,56122.7531602
2017-12-17 23:59:00+00:00,62778.7274987
2017-12-18 23:59:00+00:00,77373.755566
2017-12-19 23:59:00+00:00,86515.6962236
2017-12-20 23:59:00+00:00,89402.6248523
2017-12-21 23:59:00+00:00,106510.350059
2017-12-22 23:59:00+00:00,91514.3596826
2017-12-23 23:59:00+00:00,101885.918089
2017-12-24 23:59:00+00:00,121399.417154
2017-12-25 23:59:00+00:00,134016.364494
2017-12-26 23:59:00+00:00,125221.924505
2017-12-27 23:59:00+00:00,142008.879864
2017-12-28 23:59:00+00:00,155614.867568
2017-12-29 23:59:00+00:00,150028.126055
2017-12-30 23:59:00+00:00,141741.571658
2017-12-31 23:59:00+00:00,135032.135678
2018-01-01 23:59:00+00:00,140324.838164
2018-01-02 23:59:00+00:00,134925.212396
2018-01-03 23:59:00+00:00,127788.083286
2018-01-04 23:59:00+00:00,123297.305419
