,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99698.5447596
2017-10-28 23:59:00+00:00,109243.478781
2017-10-29 23:59:00+00:00,103061.201693
2017-10-30 23:59:00+00:00,104305.833319
2017-10-31 23:59:00+00:00,105761.995872
2017-11-01 23:59:00+00:00,107272.357883
2017-11-02 23:59:00+00:00,105297.498062
2017-11-03 23:59:00+00:00,104746.319299
2017-11-04 23:59:00+00:00,104561.062275
2017-11-05 23:59:00+00:00,104522.35747
2017-11-06 23:59:00+00:00,104494.699887
2017-11-07 23:59:00+00:00,111301.139371
2017-11-08 23:59:00+00:00,111088.466146
2017-11-09 23:59:00+00:00,117146.27396
2017-11-10 23:59:00+00:00,116371.600524
2017-11-11 23:59:00+00:00,112652.194985
2017-11-12 23:59:00+00:00,105946.144156
2017-11-13 23:59:00+00:00,115945.644575
2017-11-14 23:59:00+00:00,114608.139754
2017-11-15 23:59:00+00:00,102416.163506
2017-11-16 23:59:00+00:00,93803.3907794
2017-11-17 23:59:00+00:00,89455.9317999
2017-11-18 23:59:00+00:00,94549.005855
2017-11-19 23:59:00+00:00,90119.8419076
2017-11-20 23:59:00+00:00,93101.7861031
2017-11-21 23:59:00+00:00,97191.7726592
2017-11-22 23:59:00+00:00,99433.5544781
2017-11-23 23:59:00+00:00,95411.6073206
2017-11-24 23:59:00+00:00,93592.7367411
2017-11-25 23:59:00+00:00,114475.285043
2017-11-26 23:59:00+00:00,105016.88025
2017-11-27 23:59:00+00:00,105407.578642
2017-11-28 23:59:00+00:00,121698.512277
2017-11-29 23:59:00+00:00,98405.3008985
2017-11-30 23:59:00+00:00,106278.423058
2017-12-01 23:59:00+00:00,119615.384103
2017-12-02 23:59:00+00:00,120210.305295
2017-12-03 23:59:00+00:00,120129.377811
2017-12-04 23:59:00+00:00,120228.602372
2017-12-05 23:59:00+00:00,120202.635728
2017-12-06 23:59:00+00:00,118820.852423
2017-12-07 23:59:00+00:00,102696.293852
2017-12-08 23:59:00+00:00,108758.007125
2017-12-09 23:59:00+00:00,110920.52471
2017-12-10 23:59:00+00:00,104583.826278
2017-12-11 23:59:00+00:00,108351.18456
2017-12-12 23:59:00+00:00,108848.676358
2017-12-13 23:59:00+00:00,108960.418348
2017-12-14 23:59:00+00:00,109813.373923
2017-12-15 23:59:00+00:00,108662.185017
2017-12-16 23:59:00+00:00,110106.649654
2017-12-17 23:59:00+00:00,122698.132738
2017-12-18 23:59:00+00:00,149388.108815
2017-12-19 23:59:00+00:00,165891.622003
2017-12-20 23:59:00+00:00,171268.075788
2017-12-21 23:59:00+00:00,197687.031597
2017-12-22 23:59:00+00:00,179977.74352
2017-12-23 23:59:00+00:00,192976.656766
2017-12-24 23:59:00+00:00,207002.986244
2017-12-25 23:59:00+00:00,214645.980002
2017-12-26 23:59:00+00:00,200968.395273
2017-12-27 23:59:00+00:00,218321.578113
2017-12-28 23:59:00+00:00,219008.244345
2017-12-29 23:59:00+00:00,241301.577835
2017-12-30 23:59:00+00:00,252922.940338
2017-12-31 23:59:00+00:00,309538.976061
2018-01-01 23:59:00+00:00,345455.836284
2018-01-02 23:59:00+00:00,370876.236561
2018-01-03 23:59:00+00:00,666173.531897
2018-01-04 23:59:00+00:00,563728.334663
