,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99776.522378
2017-10-28 23:59:00+00:00,93716.926596
2017-10-29 23:59:00+00:00,83608.5155155
2017-10-30 23:59:00+00:00,84931.6072546
2017-10-31 23:59:00+00:00,82267.3600093
2017-11-01 23:59:00+00:00,83695.2368441
2017-11-02 23:59:00+00:00,82198.4964877
2017-11-03 23:59:00+00:00,77254.5414049
2017-11-04 23:59:00+00:00,73475.4968079
2017-11-05 23:59:00+00:00,73262.6281044
2017-11-06 23:59:00+00:00,77748.5217848
2017-11-07 23:59:00+00:00,79522.1163712
2017-11-08 23:59:00+00:00,83637.1946845
2017-11-09 23:59:00+00:00,91152.0695963
2017-11-10 23:59:00+00:00,86070.4212802
2017-11-11 23:59:00+00:00,87921.9099359
2017-11-12 23:59:00+00:00,90346.7232883
2017-11-13 23:59:00+00:00,88822.185156
2017-11-14 23:59:00+00:00,94010.2566528
2017-11-15 23:59:00+00:00,95219.4827749
2017-11-16 23:59:00+00:00,81274.3307288
2017-11-17 23:59:00+00:00,80565.6619797
2017-11-18 23:59:00+00:00,81262.0840646
2017-11-19 23:59:00+00:00,80251.2945804
2017-11-20 23:59:00+00:00,79765.1510998
2017-11-21 23:59:00+00:00,83782.8667441
2017-11-22 23:59:00+00:00,85507.9253814
2017-11-23 23:59:00+00:00,87873.6048285
2017-11-24 23:59:00+00:00,87663.926326
2017-11-25 23:59:00+00:00,85753.4205526
2017-11-26 23:59:00+00:00,82803.9603843
2017-11-27 23:59:00+00:00,85559.2838043
2017-11-28 23:59:00+00:00,89317.8160217
2017-11-29 23:59:00+00:00,75259.8201863
2017-11-30 23:59:00+00:00,76493.8464134
2017-12-01 23:59:00+00:00,76150.8066433
2017-12-02 23:59:00+00:00,76507.9722292
2017-12-03 23:59:00+00:00,78004.7988549
2017-12-04 23:59:00+00:00,87395.565559
2017-12-05 23:59:00+00:00,88424.5935685
2017-12-06 23:59:00+00:00,70460.3630742
2017-12-07 23:59:00+00:00,55803.9527719
2017-12-08 23:59:00+00:00,61136.2608402
2017-12-09 23:59:00+00:00,62776.2387391
2017-12-10 23:59:00+00:00,57020.9616803
2017-12-11 23:59:00+00:00,57533.255041
2017-12-12 23:59:00+00:00,61898.3177402
2017-12-13 23:59:00+00:00,64703.6850417
2017-12-14 23:59:00+00:00,69516.7821258
2017-12-15 23:59:00+00:00,64655.5490116
2017-12-16 23:59:00+00:00,61685.1809519
2017-12-17 23:59:00+00:00,68769.5975997
2017-12-18 23:59:00+00:00,76985.629337
2017-12-19 23:59:00+00:00,80999.7546038
2017-12-20 23:59:00+00:00,92696.5304974
2017-12-21 23:59:00+00:00,102415.998181
2017-12-22 23:59:00+00:00,91284.5601247
2017-12-23 23:59:00+00:00,99375.9383863
2017-12-24 23:59:00+00:00,107157.246023
2017-12-25 23:59:00+00:00,118936.531185
2017-12-26 23:59:00+00:00,106446.016651
2017-12-27 23:59:00+00:00,119877.895738
2017-12-28 23:59:00+00:00,116713.757714
2017-12-29 23:59:00+00:00,124442.531022
2017-12-30 23:59:00+00:00,139917.210213
2017-12-31 23:59:00+00:00,144347.208648
2018-01-01 23:59:00+00:00,154759.321627
2018-01-02 23:59:00+00:00,150648.390526
2018-01-03 23:59:00+00:00,147704.000678
2018-01-04 23:59:00+00:00,144084.736385
