,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99718.0366297
2017-10-28 23:59:00+00:00,96197.5510455
2017-10-29 23:59:00+00:00,83936.5495281
2017-10-30 23:59:00+00:00,86303.7725933
2017-10-31 23:59:00+00:00,86759.0077982
2017-11-01 23:59:00+00:00,92737.7634886
2017-11-02 23:59:00+00:00,87062.4979347
2017-11-03 23:59:00+00:00,77411.5115918
2017-11-04 23:59:00+00:00,71645.198997
2017-11-05 23:59:00+00:00,69429.721
2017-11-06 23:59:00+00:00,73253.6967208
2017-11-07 23:59:00+00:00,73708.9319256
2017-11-08 23:59:00+00:00,75620.919786
2017-11-09 23:59:00+00:00,82813.6360228
2017-11-10 23:59:00+00:00,82419.0988452
2017-11-11 23:59:00+00:00,85362.9531699
2017-11-12 23:59:00+00:00,89308.3249454
2017-11-13 23:59:00+00:00,86121.6785114
2017-11-14 23:59:00+00:00,89156.5798771
2017-11-15 23:59:00+00:00,80749.9030941
2017-11-16 23:59:00+00:00,72070.0851882
2017-11-17 23:59:00+00:00,73223.3477071
2017-11-18 23:59:00+00:00,73769.6299529
2017-11-19 23:59:00+00:00,74285.5631851
2017-11-20 23:59:00+00:00,72403.9243384
2017-11-21 23:59:00+00:00,73132.3006662
2017-11-22 23:59:00+00:00,76440.3431548
2017-11-23 23:59:00+00:00,78746.8681927
2017-11-24 23:59:00+00:00,82935.0320774
2017-11-25 23:59:00+00:00,79778.734657
2017-11-26 23:59:00+00:00,81872.8165994
2017-11-27 23:59:00+00:00,94771.1474036
2017-11-28 23:59:00+00:00,97199.0684962
2017-11-29 23:59:00+00:00,73344.7437618
2017-11-30 23:59:00+00:00,78352.3310152
2017-12-01 23:59:00+00:00,79900.1307117
2017-12-02 23:59:00+00:00,77957.7938376
2017-12-03 23:59:00+00:00,76592.0882231
2017-12-04 23:59:00+00:00,86030.6314704
2017-12-05 23:59:00+00:00,84482.8317739
2017-12-06 23:59:00+00:00,66121.6785114
2017-12-07 23:59:00+00:00,42510.1458862
2017-12-08 23:59:00+00:00,52282.5282838
2017-12-09 23:59:00+00:00,54103.4691032
2017-12-10 23:59:00+00:00,48519.2505903
2017-12-11 23:59:00+00:00,50461.5874643
2017-12-12 23:59:00+00:00,53466.1398164
2017-12-13 23:59:00+00:00,58868.2642473
2017-12-14 23:59:00+00:00,70552.6345053
2017-12-15 23:59:00+00:00,58989.660302
2017-12-16 23:59:00+00:00,56379.6451275
2017-12-17 23:59:00+00:00,67699.8272215
2017-12-18 23:59:00+00:00,80294.6678892
2017-12-19 23:59:00+00:00,90795.4266146
2017-12-20 23:59:00+00:00,99930.4797253
2017-12-21 23:59:00+00:00,119505.593534
2017-12-22 23:59:00+00:00,107608.780181
2017-12-23 23:59:00+00:00,118079.189892
2017-12-24 23:59:00+00:00,131645.198997
2017-12-25 23:59:00+00:00,146030.63147
2017-12-26 23:59:00+00:00,138291.632988
2017-12-27 23:59:00+00:00,164907.717965
2017-12-28 23:59:00+00:00,163845.502487
2017-12-29 23:59:00+00:00,165878.886402
2017-12-30 23:59:00+00:00,162297.702791
2017-12-31 23:59:00+00:00,176501.041182
2018-01-01 23:59:00+00:00,201235.487313
2018-01-02 23:59:00+00:00,214589.053322
2018-01-03 23:59:00+00:00,208488.901577
2018-01-04 23:59:00+00:00,202237.004763
