,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99728.0054593
2017-10-28 23:59:00+00:00,100449.40704
2017-10-29 23:59:00+00:00,93853.735449
2017-10-30 23:59:00+00:00,96516.0508045
2017-10-31 23:59:00+00:00,98920.7227386
2017-11-01 23:59:00+00:00,88941.3342123
2017-11-02 23:59:00+00:00,75200.3517321
2017-11-03 23:59:00+00:00,72572.3888327
2017-11-04 23:59:00+00:00,72108.630674
2017-11-05 23:59:00+00:00,69755.4874243
2017-11-06 23:59:00+00:00,81847.5520069
2017-11-07 23:59:00+00:00,86158.7852601
2017-11-08 23:59:00+00:00,98216.4973865
2017-11-09 23:59:00+00:00,108505.058019
2017-11-10 23:59:00+00:00,100775.755373
2017-11-11 23:59:00+00:00,105550.746785
2017-11-12 23:59:00+00:00,110566.205391
2017-11-13 23:59:00+00:00,100758.579145
2017-11-14 23:59:00+00:00,101617.39055
2017-11-15 23:59:00+00:00,89078.7440371
2017-11-16 23:59:00+00:00,79099.3555108
2017-11-17 23:59:00+00:00,79992.519372
2017-11-18 23:59:00+00:00,81280.7364796
2017-11-19 23:59:00+00:00,78961.945686
2017-11-20 23:59:00+00:00,75870.224628
2017-11-21 23:59:00+00:00,81675.7897259
2017-11-22 23:59:00+00:00,84028.9329756
2017-11-23 23:59:00+00:00,94489.2558887
2017-11-24 23:59:00+00:00,90538.7234256
2017-11-25 23:59:00+00:00,88305.8137726
2017-11-26 23:59:00+00:00,80696.7447242
2017-11-27 23:59:00+00:00,82173.9003408
2017-11-28 23:59:00+00:00,92101.7601828
2017-11-29 23:59:00+00:00,75543.8762941
2017-11-30 23:59:00+00:00,76110.6918214
2017-12-01 23:59:00+00:00,73190.7330443
2017-12-02 23:59:00+00:00,74221.3067303
2017-12-03 23:59:00+00:00,76643.1548925
2017-12-04 23:59:00+00:00,81400.9700763
2017-12-05 23:59:00+00:00,87653.1171048
2017-12-06 23:59:00+00:00,63468.9879395
2017-12-07 23:59:00+00:00,45451.1246623
2017-12-08 23:59:00+00:00,49436.0095816
2017-12-09 23:59:00+00:00,51771.9766032
2017-12-10 23:59:00+00:00,44935.8378193
2017-12-11 23:59:00+00:00,42239.1700076
2017-12-12 23:59:00+00:00,51187.9848478
2017-12-13 23:59:00+00:00,54691.9353803
2017-12-14 23:59:00+00:00,60858.2012683
2017-12-15 23:59:00+00:00,55241.5746795
2017-12-16 23:59:00+00:00,49762.3579155
2017-12-17 23:59:00+00:00,56667.2016118
2017-12-18 23:59:00+00:00,68037.8646142
2017-12-19 23:59:00+00:00,67848.9261051
2017-12-20 23:59:00+00:00,79168.0604232
2017-12-21 23:59:00+00:00,89559.6784239
2017-12-22 23:59:00+00:00,80885.6832333
2017-12-23 23:59:00+00:00,96172.5262425
2017-12-24 23:59:00+00:00,102029.620025
2017-12-25 23:59:00+00:00,119154.319441
2017-12-26 23:59:00+00:00,98645.903089
2017-12-27 23:59:00+00:00,121902.515937
2017-12-28 23:59:00+00:00,115427.077943
2017-12-29 23:59:00+00:00,115272.49189
2017-12-30 23:59:00+00:00,103180.427307
2017-12-31 23:59:00+00:00,113142.639606
2018-01-01 23:59:00+00:00,137378.297455
2018-01-02 23:59:00+00:00,121335.700409
2018-01-03 23:59:00+00:00,127072.560595
2018-01-04 23:59:00+00:00,118484.446545
