,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99660.0474228
2017-10-28 23:59:00+00:00,78220.7482989
2017-10-29 23:59:00+00:00,56643.7770849
2017-10-30 23:59:00+00:00,56906.6056206
2017-10-31 23:59:00+00:00,43389.7095004
2017-11-01 23:59:00+00:00,53101.8496756
2017-11-02 23:59:00+00:00,66531.1362839
2017-11-03 23:59:00+00:00,59034.265195
2017-11-04 23:59:00+00:00,50148.1575605
2017-11-05 23:59:00+00:00,53865.3039935
2017-11-06 23:59:00+00:00,55892.8384116
2017-11-07 23:59:00+00:00,58220.7482989
2017-11-08 23:59:00+00:00,60711.3615655
2017-11-09 23:59:00+00:00,73289.584344
2017-11-10 23:59:00+00:00,61086.8309022
2017-11-11 23:59:00+00:00,60773.9397883
2017-11-12 23:59:00+00:00,61512.3628171
2017-11-13 23:59:00+00:00,68408.4829673
2017-11-14 23:59:00+00:00,85267.0561838
2017-11-15 23:59:00+00:00,111049.283969
2017-11-16 23:59:00+00:00,73927.8822163
2017-11-17 23:59:00+00:00,69046.7808396
2017-11-18 23:59:00+00:00,69997.9698258
2017-11-19 23:59:00+00:00,67757.6694504
2017-11-20 23:59:00+00:00,70786.4554328
2017-11-21 23:59:00+00:00,80323.3765843
2017-11-22 23:59:00+00:00,81562.4253953
2017-11-23 23:59:00+00:00,78258.2952326
2017-11-24 23:59:00+00:00,77181.9498008
2017-11-25 23:59:00+00:00,74929.1337808
2017-11-26 23:59:00+00:00,68646.2802138
2017-11-27 23:59:00+00:00,65292.0874729
2017-11-28 23:59:00+00:00,67970.4354078
2017-11-29 23:59:00+00:00,52150.6606894
2017-11-30 23:59:00+00:00,51512.3628171
2017-12-01 23:59:00+00:00,51512.3628171
2017-12-02 23:59:00+00:00,53852.788349
2017-12-03 23:59:00+00:00,58783.9523039
2017-12-04 23:59:00+00:00,82150.6606894
2017-12-05 23:59:00+00:00,81562.4253953
2017-12-06 23:59:00+00:00,52250.7858459
2017-12-07 23:59:00+00:00,35254.5405392
2017-12-08 23:59:00+00:00,42826.5054954
2017-12-09 23:59:00+00:00,45229.5092501
2017-12-10 23:59:00+00:00,34628.7583114
2017-12-11 23:59:00+00:00,37432.2626919
2017-12-12 23:59:00+00:00,42939.1462964
2017-12-13 23:59:00+00:00,45254.5405392
2017-12-14 23:59:00+00:00,46656.2927295
2017-12-15 23:59:00+00:00,44390.9610649
2017-12-16 23:59:00+00:00,40598.7207645
2017-12-17 23:59:00+00:00,50711.3615655
2017-12-18 23:59:00+00:00,59609.9848446
2017-12-19 23:59:00+00:00,65354.6656957
2017-12-20 23:59:00+00:00,91687.5818408
2017-12-21 23:59:00+00:00,100598.720765
2017-12-22 23:59:00+00:00,76643.7770849
2017-12-23 23:59:00+00:00,83252.0374103
2017-12-24 23:59:00+00:00,94954.1650699
2017-12-25 23:59:00+00:00,110561.173831
2017-12-26 23:59:00+00:00,88846.5305267
2017-12-27 23:59:00+00:00,92701.3490499
2017-12-28 23:59:00+00:00,87582.4504266
2017-12-29 23:59:00+00:00,116618.745796
2017-12-30 23:59:00+00:00,194190.710752
2017-12-31 23:59:00+00:00,187745.153806
2018-01-01 23:59:00+00:00,180423.501741
2018-01-02 23:59:00+00:00,166668.808374
2018-01-03 23:59:00+00:00,155254.540539
2018-01-04 23:59:00+00:00,155617.494231
