,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99986.0709925
2017-10-28 23:59:00+00:00,99545.0665661
2017-10-29 23:59:00+00:00,98915.7809689
2017-10-30 23:59:00+00:00,98986.9767391
2017-10-31 23:59:00+00:00,98759.0925525
2017-11-01 23:59:00+00:00,98736.3252936
2017-11-02 23:59:00+00:00,98092.5827686
2017-11-03 23:59:00+00:00,97793.7269078
2017-11-04 23:59:00+00:00,97648.4610708
2017-11-05 23:59:00+00:00,97522.1636114
2017-11-06 23:59:00+00:00,98088.958541
2017-11-07 23:59:00+00:00,98281.2980759
2017-11-08 23:59:00+00:00,98587.0718456
2017-11-09 23:59:00+00:00,99704.274957
2017-11-10 23:59:00+00:00,98865.8732201
2017-11-11 23:59:00+00:00,98738.5598973
2017-11-12 23:59:00+00:00,102571.643452
2017-11-13 23:59:00+00:00,99482.3529222
2017-11-14 23:59:00+00:00,102483.524976
2017-11-15 23:59:00+00:00,94417.2833709
2017-11-16 23:59:00+00:00,85690.552267
2017-11-17 23:59:00+00:00,85936.166854
2017-11-18 23:59:00+00:00,86081.3099045
2017-11-19 23:59:00+00:00,86158.1370131
2017-11-20 23:59:00+00:00,85709.917129
2017-11-21 23:59:00+00:00,85880.4734009
2017-11-22 23:59:00+00:00,86578.6038925
2017-11-23 23:59:00+00:00,85786.2471037
2017-11-24 23:59:00+00:00,85843.6101789
2017-11-25 23:59:00+00:00,84846.2908437
2017-11-26 23:59:00+00:00,82997.6669878
2017-11-27 23:59:00+00:00,82867.3565542
2017-11-28 23:59:00+00:00,83157.8830862
2017-11-29 23:59:00+00:00,82124.5552071
2017-11-30 23:59:00+00:00,82105.4711532
2017-12-01 23:59:00+00:00,81864.5577054
2017-12-02 23:59:00+00:00,83267.7947143
2017-12-03 23:59:00+00:00,86425.4749347
2017-12-04 23:59:00+00:00,96949.2990183
2017-12-05 23:59:00+00:00,101042.45608
2017-12-06 23:59:00+00:00,75022.1805611
2017-12-07 23:59:00+00:00,57137.0999139
2017-12-08 23:59:00+00:00,64879.1097218
2017-12-09 23:59:00+00:00,66987.1028187
2017-12-10 23:59:00+00:00,58381.704766
2017-12-11 23:59:00+00:00,60694.2936385
2017-12-12 23:59:00+00:00,65591.3439683
2017-12-13 23:59:00+00:00,67700.140596
2017-12-14 23:59:00+00:00,69301.0460228
2017-12-15 23:59:00+00:00,67036.4026519
2017-12-16 23:59:00+00:00,63677.1731848
2017-12-17 23:59:00+00:00,72077.8485388
2017-12-18 23:59:00+00:00,79495.2983831
2017-12-19 23:59:00+00:00,84284.9007634
2017-12-20 23:59:00+00:00,106024.932833
2017-12-21 23:59:00+00:00,113464.365185
2017-12-22 23:59:00+00:00,93406.2677048
2017-12-23 23:59:00+00:00,100371.585003
2017-12-24 23:59:00+00:00,110675.342892
2017-12-25 23:59:00+00:00,123921.754464
2017-12-26 23:59:00+00:00,104643.189055
2017-12-27 23:59:00+00:00,124543.841554
2017-12-28 23:59:00+00:00,118716.28105
2017-12-29 23:59:00+00:00,122806.616616
2017-12-30 23:59:00+00:00,124179.040612
2017-12-31 23:59:00+00:00,131555.326299
2018-01-01 23:59:00+00:00,150626.622905
2018-01-02 23:59:00+00:00,134876.623544
2018-01-03 23:59:00+00:00,139675.76689
2018-01-04 23:59:00+00:00,138048.869812
